name,code,total
Angola,AGO,0.0030796
Benin,BEN,0.003013
Burkina Faso,BFA,1.2048462
Cote d'Ivoire,CIV,0.1284457
Cameroon,CMR,0.26814376
Democratic Republic of the Congo,COD,0.00635
Republic of the Congo,COG,5.171298
Cape Verde,CPV,0.14200094
Djibouti,DJI,0.02502922
Algeria,DZA,0.97382904
Egypt,EGY,0.11410119
Eritrea,ERI,0.00659234
Ethiopia,ETH,0.26684978
Gabon,GAB,0.62069387
Ghana,GHA,0.49989363
Guinea,GIN,0.001191
Gambia,GMB,0.008243
Equatorial Guinea,GNQ,0.23418928
Kenya,KEN,0.54432092
Morocco,MAR,8.94351553
Madagascar,MDG,0.104496
Mali,MLI,0.00624963
Mozambique,MOZ,7.699748
Mauritius,MUS,1.24708638
Malawi,MWI,0.019512
Nigeria,NGA,1.009109
Rwanda,RWA,0.049422
Sudan,SDN,0.011762
Senegal,SEN,0.346765
Seychelles,SYC,0.01938268
Togo,TGO,0.30115027
Tunisia,TUN,2.22732647
Tanzania,TZA,0.151986
Uganda,UGA,0.84673012
South Africa,ZAF,799.638519
Zambia,ZMB,0.134904
Zimbabwe,ZWE,0.06706098
Afghanistan,AFG,0.06557886
United Arab Emirates,ARE,6.89833867
Armenia,ARM,5.87824614
Azerbaijan,AZE,5.7371424
Bangladesh,BGD,0.004841
Bahrain,BHR,0.024149
Bhutan,BTN,0.01157596
China,CHN,139.9555885
Cyprus,CYP,5.79188676
Georgia,GEO,188.6697008
Hong Kong,HKG,45.98299831
Indonesia,IDN,1.20601804
India,IND,9.3576869
Iraq,IRQ,0.116237
Israel,ISR,44.89440482
Jordan,JOR,0.08165102
Japan,JPN,5.06754822
Kazakhstan,KAZ,0.82496
Cambodia,KHM,0.007014
South Korea,KOR,0.98998262
Lebanon,LBN,16.49466943
Sri Lanka,LKA,0.35677208
Macau,MAC,12.73840885
Maldives,MDV,0.09079752
Burma,MMR,0.01262017
Mongolia,MNG,0.009117
Malaysia,MYS,26.6111009
Pakistan,PAK,0.06359094
Philippines,PHL,0.01772917
Palestine,PSE,0.39942
Qatar,QAT,0.03595671
Saudi Arabia,SAU,0.1176102
Singapore,SGP,291.7093242
Syria,SYR,0.09445247
Thailand,THA,28.04124168
Turkey,TUR,7.93339932
Uzbekistan,UZB,3.03352186
Vietnam,VNM,1.91413221
Albania,ALB,0.43150007
Andorra,AND,0.08333957
Austria,AUT,175.7940099
Bulgaria,BGR,55.85868838
Bosnia and Herzegovina,BIH,3.57730561
Belarus,BLR,0.94848725
Belgium-Luxembourg,BLX,152.0519061
Switzerland,CHE,89.31343154
Czech Republic,CZE,33.69012859
Germany,DEU,1213.998708
Denmark,DNK,68.93410955
Spain,ESP,3415.723467
Estonia,EST,15.17308505
Finland,FIN,21.95448371
France,FRA,10870.66301
United Kingdom,GBR,596.9315418
Greece,GRC,82.77675197
Croatia,HRV,12.9011004
Hungary,HUN,111.4212339
Ireland,IRL,13.63180695
Iceland,ISL,0.37781228
Italy,ITA,7041.121508
Lithuania,LTU,198.0208461
Latvia,LVA,67.41193234
Moldova,MDA,112.0064594
Macedonia,MKD,64.09583352
Malta,MLT,1.4891597
Montenegro,MNE,17.40148632
Netherlands,NLD,194.3915636
Norway,NOR,5.47316289
Poland,POL,7.73493124
Portugal,PRT,963.7998584
Romania,ROU,23.68978301
Russia,RUS,3.40270036
San Marino,SMR,0.1016299
Serbia,SRB,19.09775121
Slovakia,SVK,17.30919321
Slovenia,SVN,16.19398299
Sweden,SWE,23.84557747
Ukraine,UKR,33.12673677
Aruba,ABW,0.7222799
Anguilla,AIA,0.001057
Antigua and Barbuda,ATG,0.20394675
Bahamas,BHS,0.02543307
Belize,BLZ,0.029357
Bermuda,BMU,0.011196
Barbados,BRB,0.14544904
Canada,CAN,58.42090576
Costa Rica,CRI,0.04082285
Cuba,CUB,0.006765
Curaçao,CUW,0.52921365
Cayman Islands,CYM,0.03687425
Dominican Republic,DOM,9.204631
Grenada,GRD,0.028132
Guatemala,GTM,0.53644293
Honduras,HND,0.08649776
Jamaica,JAM,2.26447678
Saint Lucia,LCA,0.054939
Mexico,MEX,6.10118925
Panama,PAN,0.47435426
El Salvador,SLV,0.01624419
Turks and Caicos Islands,TCA,0.002917
Trinidad and Tobago,TTO,0.22990717
United States,USA,1540.853379
Saint Vincent and the Grenadines,VCT,0.00177128
British Virgin Islands,VGB,0.01348312
American Samoa,ASM,0.005959
Australia,AUS,1913.800888
Fiji,FJI,0.06502617
Guam,GUM,0.063454
Marshall Islands,MHL,0.00426316
New Caledonia,NCL,0.03424374
Nauru,NRU,0.00417737
New Zealand,NZL,1197.582963
Papua New Guinea,PNG,0.00312964
French Polynesia,PYF,0.07927119
Samoa,WSM,0.00409
Argentina,ARG,857.5231422
Bolivia,BOL,0.03193657
Brazil,BRA,10.71539831
Chile,CHL,1937.109721
Colombia,COL,0.43067635
Ecuador,ECU,0.21622433
Guyana,GUY,0.03030612
Peru,PER,1.08840589
Paraguay,PRY,0.05381753
Suriname,SUR,0.25005935
Uruguay,URY,9.11405781
Venezuela,VEN,0.00481521