varietal,Word,Cnt
Riesling,dry,1692
Riesling,lemon,1458
Riesling,apple,1265
Riesling,peach,1223
Riesling,fresh,1119
Riesling,citrus,1031
Riesling,lime,973
Rosé,crisp,977
Rosé,light,837
Rosé,fruity,756
Rosé,strawberry,740
Rosé,dry,604
Rosé,bright,591
Rosé,soft,525
Sauvignon Blanc,citrus,1403
Sauvignon Blanc,crisp,1125
Sauvignon Blanc,grapefruit,963
Sauvignon Blanc,lime,926
Sauvignon Blanc,fresh,857
Sauvignon Blanc,lemon,798
Sauvignon Blanc,apple,776
Cabernet Sauvignon,cherry,2884
Cabernet Sauvignon,oak,2532
Cabernet Sauvignon,blackberry,2399
Cabernet Sauvignon,chocolate,1490
Cabernet Sauvignon,plum,1406
Cabernet Sauvignon,currant,1400
Cabernet Sauvignon,dry,1389
Nebbiolo,cherry,1872
Nebbiolo,berry,1254
Nebbiolo,spice,1092
Nebbiolo,licorice,820
Nebbiolo,firm,805
Nebbiolo,leather,667
Nebbiolo,raspberry,605
Gamay,cherry,311
Gamay,fruity,272
Gamay,rich,267
Gamay,firm,258
Gamay,juicy,224
Gamay,structured,217
Gamay,soft,173
Malbec,berry,1088
Malbec,plum,886
Malbec,blackberry,766
Malbec,oak,543
Malbec,herbal,476
Malbec,dark,475
Malbec,spice,440
Syrah,pepper,1117
Syrah,blackberry,1004
Syrah,cherry,859
Syrah,spice,614
Syrah,rich,601
Syrah,plum,566
Syrah,chocolate,525
Sangiovese,cherry,1860
Sangiovese,berry,845
Sangiovese,spice,770
Sangiovese,leather,575
Sangiovese,plum,532
Sangiovese,licorice,476
Sangiovese,tobacco,463
Pinot Gris,pear,720
Pinot Gris,apple,401
Pinot Gris,fresh,332
Pinot Gris,citrus,231
Pinot Gris,rich,224
Pinot Gris,crisp,181
Pinot Gris,spice,178
Chardonnay,apple,3725
Chardonnay,oak,2704
Chardonnay,pear,2152
Chardonnay,crisp,2089
Chardonnay,rich,2081
Chardonnay,lemon,2081
Chardonnay,vanilla,1913
Zinfandel,blackberry,664
Zinfandel,cherry,566
Zinfandel,pepper,558
Zinfandel,sweet,508
Zinfandel,soft,472
Zinfandel,rich,458
Zinfandel,alcohol,434
Tempranillo,berry,901
Tempranillo,plum,794
Tempranillo,oak,533
Tempranillo,cherry,499
Tempranillo,blackberry,384
Tempranillo,spice,369
Tempranillo,vanilla,339
Grüner Veltliner,pear,580
Grüner Veltliner,fresh,452
Grüner Veltliner,pepper,310
Grüner Veltliner,citrus,302
Grüner Veltliner,lemon,258
Grüner Veltliner,spice,234
Grüner Veltliner,apple,195
Pinot Noir,cherry,5508
Pinot Noir,raspberry,2435
Pinot Noir,spice,1633
Pinot Noir,cherries,1472
Pinot Noir,plum,1363
Pinot Noir,cranberry,1339
Pinot Noir,strawberry,1310
Gewürztraminer,spice,276
Gewürztraminer,peach,267
Gewürztraminer,rich,264
Gewürztraminer,dry,257
Gewürztraminer,sweet,235
Gewürztraminer,lychee,225
Gewürztraminer,rose,185
Cabernet Franc,cherry,579
Cabernet Franc,spice,243
Cabernet Franc,plum,201
Cabernet Franc,soft,184
Cabernet Franc,berry,175
Cabernet Franc,rich,173
Cabernet Franc,pepper,164
Viognier,peach,291
Viognier,apricot,211
Viognier,citrus,172
Viognier,lemon,158
Viognier,tropical,152
Viognier,pear,146
Viognier,apple,144
Merlot,cherry,1176
Merlot,plum,662
Merlot,soft,537
Merlot,spice,483
Merlot,blackberry,448
Merlot,berry,431
Merlot,chocolate,406
Pinot Grigio,apple,368
Pinot Grigio,citrus,325
Pinot Grigio,crisp,280
Pinot Grigio,pear,271
Pinot Grigio,peach,260
Pinot Grigio,fresh,223
Pinot Grigio,lemon,159
Grüner Veltliner,pear,580
Grüner Veltliner,pepper,310
Grüner Veltliner,citrus,302
Grüner Veltliner,lemon,258
Grüner Veltliner,spice,234
Grüner Veltliner,apple,195
Grüner Veltliner,crisp,192